"tm","yr","net","ortg","drtg","pace","wins","losses","fta.per.fga","orb.rt","to.rt","three.att","three.mk","two.att","two.mk","ft.att","ft.mk","or","to","three.att.rt","three.pct","two.pct","ft.pct","dr.opp","conf","play.odds","exp.wins"
"ATL",2018,-4.6,105.8,110.4,97.9,20,44,0.242207554088742,0.219,0.141,1936,704,3518,1741,1321,1048,597,994,0.354968830216355,0.363636363636364,0.49488345650938,0.79333838001514,2028,"Eastern",0,25.465
"ATL",2018,-4.6,105.8,110.4,97.9,20,44,0.242977015687705,0.754,0.145,1928,725,3554,1867,1332,1018,660,1026,0.351696461145567,0.37603734439834,0.525323579065841,0.764264264264264,2134,"Eastern",0,25.465
"BOS",2018,4.2,108,103.8,96.1,44,20,0.24097489463075,0.21,0.127,2007,753,3450,1704,1315,1012,582,875,0.367784496976361,0.375186846038864,0.493913043478261,0.76958174904943,2247,"Eastern",1,55.326
"BOS",2018,4.2,108,103.8,96.1,44,20,0.263022271304988,0.782,0.128,1729,586,3704,1780,1429,1097,627,891,0.318240382845573,0.338924233661076,0.480561555075594,0.767669699090273,2187,"Eastern",1,55.326
"BRK",2018,-4.1,106.1,110.2,98.8,20,44,0.259239325439541,0.218,0.137,2256,787,3318,1646,1445,1118,646,984,0.404736275565124,0.348847517730496,0.496081977094635,0.773702422145329,2240,"Eastern",0,26.278
"BRK",2018,-4.1,106.1,110.2,98.8,20,44,0.265427769985975,0.773,0.111,1578,580,4126,2068,1514,1158,657,794,0.276647966339411,0.367553865652725,0.501211827435773,0.764861294583884,2321,"Eastern",0,26.278
"CHO",2018,-0.2,108,108.2,98.1,28,36,0.306777217015141,0.224,0.114,1719,633,3829,1831,1702,1250,653,809,0.309841384282624,0.368237347294939,0.478192739618699,0.734430082256169,2244,"Eastern",0.056,37.764
"CHO",2018,-0.2,108,108.2,98.1,28,36,0.218501086169442,0.814,0.129,1904,704,3620,1872,1207,971,512,895,0.344677769732078,0.369747899159664,0.517127071823204,0.804473902236951,2263,"Eastern",0.056,37.764
"CHI",2018,-6.2,104,110.2,98.2,21,41,0.216167120799273,0.199,0.124,1894,676,3611,1736,1190,907,577,855,0.344050862851953,0.356916578669483,0.480753253946275,0.76218487394958,2208,"Eastern",0,27.291
"CHI",2018,-6.2,104,110.2,98.2,21,41,0.235761834319527,0.811,0.119,1950,720,3458,1815,1275,996,515,807,0.360576923076923,0.369230769230769,0.52486986697513,0.781176470588235,2318,"Eastern",0,27.291
"CLE",2018,0,112.1,112.1,97.8,36,26,0.274779946421737,0.198,0.129,2019,738,3207,1741,1436,1126,520,870,0.386337543053961,0.365527488855869,0.542874961022763,0.784122562674095,2087,"Eastern",0.998,46.278
"CLE",2018,0,112.1,112.1,97.8,36,26,0.222649103549213,0.77,0.122,1978,734,3488,1859,1217,905,622,837,0.361873399195024,0.37108190091001,0.532970183486238,0.743631881676253,2111,"Eastern",0.998,46.278
"DAL",2018,-3,106.5,109.5,95.5,19,45,0.221692053587814,0.176,0.118,2079,756,3370,1672,1208,928,500,797,0.38153789686181,0.363636363636364,0.496142433234421,0.768211920529801,2096,"Western",0,26.29
"DAL",2018,-3,106.5,109.5,95.5,19,45,0.259552042160738,0.787,0.132,1881,688,3432,1807,1379,1047,567,903,0.354037267080745,0.365762892078682,0.526515151515151,0.75924583031182,2344,"Western",0,26.29
"DEN",2018,1.2,111.7,110.5,96.8,35,28,0.251610528253267,0.262,0.137,1914,703,3519,1848,1367,1041,702,960,0.352291551628934,0.367293625914316,0.525149190110827,0.761521580102414,2074,"Western",0.652,45.048
"DEN",2018,1.2,111.7,110.5,96.8,35,28,0.235184841166636,0.777,0.132,1786,661,3597,1925,1266,942,595,903,0.331785249860672,0.37010078387458,0.535168195718654,0.744075829383886,1982,"Western",0.652,45.048
"DET",2018,-0.9,106.9,107.8,96.1,29,34,0.227871250914411,0.232,0.126,1789,661,3679,1791,1246,929,651,864,0.327176298463789,0.369480156512018,0.486817069855939,0.745585874799358,2070,"Eastern",0.081,38.231
"DET",2018,-0.9,106.9,107.8,96.1,29,34,0.229650613786591,0.784,0.14,1885,704,3410,1743,1216,955,570,949,0.355996222851747,0.373474801061008,0.511143695014663,0.785361842105263,2156,"Eastern",0.081,38.231
"GSW",2018,8.5,115.4,106.9,100.3,49,14,0.250513730618345,0.214,0.144,1878,746,3475,1993,1341,1089,528,999,0.350831309546049,0.397231096911608,0.573525179856115,0.812080536912752,2241,"Western",1,64.055
"GSW",2018,8.5,115.4,106.9,100.3,49,14,0.249037451872594,0.763,0.126,1837,654,3877,1865,1423,1085,698,912,0.321491074553728,0.356015242242787,0.481042042816611,0.762473647224174,1945,"Western",1,64.055
"HOU",2018,9,115.9,106.9,98,49,13,0.307015866947046,0.217,0.127,2639,963,2592,1454,1606,1270,568,863,0.50449244886255,0.364910951117848,0.560956790123457,0.790784557907846,2128,"Western",1,64.434
"HOU",2018,9,115.9,106.9,98,49,13,0.237365133446905,0.808,0.135,1790,649,3493,1813,1254,947,506,911,0.338822638652281,0.362569832402235,0.519038076152305,0.75518341307815,2047,"Western",1,64.434
"IND",2018,1.6,110,108.4,96.5,36,27,0.232334443211247,0.222,0.125,1551,573,3855,2012,1256,972,587,851,0.286903440621532,0.369439071566731,0.521919584954604,0.773885350318471,2083,"Eastern",0.986,45.356
"IND",2018,1.6,110,108.4,96.5,36,27,0.233092458773393,0.762,0.138,1937,674,3460,1829,1258,937,651,953,0.358903094311655,0.347960764068147,0.528612716763006,0.74483306836248,2053,"Eastern",0.986,45.356
"LAC",2018,1.1,110.3,109.2,98.8,34,28,0.29806598407281,0.229,0.133,1761,621,3513,1855,1572,1193,611,918,0.333902161547213,0.352640545144804,0.528038713350413,0.758905852417303,2101,"Western",0.497,44.235
"LAC",2018,1.1,110.3,109.2,98.8,34,28,0.270500927643785,0.761,0.131,1874,666,3516,1779,1458,1139,661,911,0.347680890538033,0.355389541088581,0.505972696245734,0.781207133058985,2059,"Western",0.497,44.235
"LAL",2018,-1.6,106.2,107.8,100.8,28,34,0.259078590785908,0.242,0.138,1747,602,3788,1955,1434,1005,685,991,0.315627822944896,0.344590726960504,0.51610348468849,0.700836820083682,2194,"Western",0,37.083
"LAL",2018,-1.6,106.2,107.8,100.8,28,34,0.247722807644222,0.772,0.128,1873,650,3726,1903,1387,1065,648,913,0.334524022146812,0.347036839295248,0.510735373054214,0.767844268204758,2143,"Western",0,37.083
"MEM",2018,-5,104.6,109.6,94.4,18,44,0.265944881889764,0.223,0.14,1632,568,3448,1677,1351,1076,580,927,0.321259842519685,0.348039215686274,0.486368909512761,0.796447076239822,1943,"Western",0,24.596
"MEM",2018,-5,104.6,109.6,94.4,18,44,0.336163331311906,0.767,0.138,1722,627,3225,1630,1663,1282,589,909,0.348089751364463,0.36411149825784,0.505426356589147,0.7708959711365,2024,"Western",0,24.596
"MIA",2018,-0.6,106,106.6,95.2,33,30,0.233263796700171,0.216,0.138,1919,687,3354,1701,1230,925,578,929,0.3639294519249,0.357998957790516,0.507155635062612,0.752032520325203,2123,"Eastern",0.944,42.994
"MIA",2018,-0.6,106,106.6,95.2,33,30,0.271978548170848,0.792,0.129,1627,581,3594,1781,1420,1118,556,868,0.31162612526336,0.357098955132145,0.495548135781859,0.787323943661972,2104,"Eastern",0.944,42.994
"MIL",2018,-0.4,109,109.4,95.7,34,29,0.293706293706294,0.201,0.13,1546,545,3602,1901,1512,1173,518,872,0.3003108003108,0.352522639068564,0.52776235424764,0.775793650793651,1971,"Eastern",0.941,43.062
"MIL",2018,-0.4,109,109.4,95.7,34,29,0.287852619458837,0.766,0.143,1679,614,3532,1811,1500,1172,603,977,0.322203032047592,0.365693865396069,0.512740656851642,0.781333333333333,2060,"Eastern",0.941,43.062
"MIN",2018,2.8,113.8,111,95.8,38,28,0.286169083834453,0.245,0.115,1469,523,4185,2187,1618,1300,679,826,0.259816059426954,0.356024506466984,0.52258064516129,0.803461063040791,2078,"Western",0.934,47.208
"MIN",2018,2.8,113.8,111,95.8,38,28,0.237787356321839,0.762,0.142,1969,719,3599,1936,1324,1034,649,1020,0.353627873563218,0.365159979685119,0.537927202000556,0.780966767371601,2091,"Western",0.934,47.208
"NOP",2018,0.6,109.9,109.3,100.3,36,26,0.253906968192682,0.2,0.135,1810,657,3629,1970,1381,1053,537,947,0.33278176135319,0.362983425414365,0.542849269771287,0.76249094858798,2184,"Western",0.824,46.118
"NOP",2018,0.6,109.9,109.3,100.3,36,26,0.230837160014129,0.769,0.127,1907,691,3755,1907,1307,1034,655,904,0.336806782055811,0.362349239643419,0.507856191744341,0.791124713083397,2143,"Western",0.824,46.118
"NYK",2018,-3,106.9,109.9,96.6,24,40,0.228638244288541,0.247,0.137,1428,503,4131,2074,1271,1006,678,968,0.256880733944954,0.352240896358543,0.502057613168724,0.791502753737215,2147,"Eastern",0,31.516
"NYK",2018,-3,106.9,109.9,96.6,24,40,0.261588802035993,0.773,0.124,1953,718,3548,1794,1439,1107,630,867,0.355026358843847,0.367639528929852,0.505636978579481,0.769284225156359,2072,"Eastern",0,31.516
"OKC",2018,2.8,109.9,107.1,96.2,37,28,0.265873709987756,0.283,0.125,1938,674,3779,1911,1520,1080,823,915,0.338988980234389,0.347781217750258,0.505689335803122,0.710526315789474,2108,"Western",0.875,46.505
"OKC",2018,2.8,109.9,107.1,96.2,37,28,0.253085282740836,0.775,0.147,1985,724,3444,1766,1374,1042,612,1038,0.365629029287162,0.364735516372796,0.512775842044135,0.758369723435226,2090,"Western",0.875,46.505
"ORL",2018,-4.2,107.2,111.4,98.4,20,43,0.248516320474777,0.202,0.134,1844,663,3548,1829,1340,1018,552,923,0.341988130563798,0.359544468546638,0.515501691093574,0.759701492537313,2051,"Eastern",0,27.379
"ORL",2018,-4.2,107.2,111.4,98.4,20,43,0.246264626462646,0.751,0.126,1684,614,3871,2013,1368,1059,681,889,0.303150315031503,0.364608076009501,0.520020666494446,0.774122807017544,2178,"Eastern",0,27.379
"PHI",2018,1.9,107.9,106,99,34,28,0.275365067324104,0.256,0.153,1786,647,3487,1811,1452,1104,678,1072,0.338706618623175,0.362262038073908,0.519357613994838,0.760330578512397,2211,"Eastern",0.997,46.814
"PHI",2018,1.9,107.9,106,99,34,28,0.296605453533667,0.779,0.127,1819,620,3572,1739,1599,1210,626,886,0.33741420886663,0.34084661902144,0.486842105263158,0.756722951844903,1968,"Eastern",0.997,46.814
"PHO",2018,-8.4,104.4,112.8,100.1,19,46,0.281757233592096,0.232,0.137,1787,598,3881,1908,1597,1194,692,1009,0.315278757939308,0.334639059876889,0.491625869621232,0.747651847213525,2178,"Western",0,22.541
"PHO",2018,-8.4,104.4,112.8,100.1,19,46,0.284794711203897,0.763,0.119,1858,684,3890,2022,1637,1259,675,873,0.323242867084203,0.368137782561894,0.519794344473008,0.769089798411729,2292,"Western",0,22.541
"POR",2018,1.9,108.4,106.5,96.6,37,26,0.240924092409241,0.228,0.126,1710,641,3744,1826,1314,1053,622,872,0.313531353135314,0.374853801169591,0.487713675213675,0.801369863013699,2213,"Western",0.926,47.163
"POR",2018,1.9,108.4,106.5,96.6,37,26,0.251563074659801,0.787,0.118,1668,605,3770,1826,1368,1045,600,807,0.306730415593968,0.362709832134293,0.484350132625995,0.763888888888889,2107,"Western",0.926,47.163
"SAC",2018,-8.2,103.9,112.1,95.2,20,44,0.196649672250546,0.215,0.131,1504,577,3988,1913,1080,792,603,901,0.273852876911872,0.383643617021277,0.479689067201605,0.733333333333333,1983,"Western",0,24.373
"SAC",2018,-8.2,103.9,112.1,95.2,20,44,0.25939920649915,0.764,0.138,2040,782,3253,1725,1373,1053,611,944,0.385414698658606,0.383333333333333,0.530279741776821,0.76693372177713,2207,"Western",0,24.373
"SAS",2018,3.1,107.8,104.7,95,36,27,0.240411599625819,0.236,0.126,1542,548,3803,1905,1285,996,644,850,0.288493919550982,0.35538261997406,0.500920326058375,0.775097276264591,2152,"Western",0.876,46.63
