"tm","wins","losses","net","conf","exp.wins","1","2","3","4","5","6","7","8","9","10","11","12","13","14","worst.rec","po.odds","sched"
"Phoenix Suns",19,48,-9,"Western",22.757,0.215700265140013,0.193575027240007,0.16862804991999,0.308322827399994,0.0781772504400009,0.0250655138600001,0.00822901772,0.00207134612,0.00022297832,7.66216e-06,6.168e-08,0,0,0,0.5736,0,1.49666666666667
"Memphis Grizzlies",18,47,-4.8,"Western",24.3016,0.166371891640003,0.158437389259999,0.148115670519995,0.220101451840009,0.150406065619995,0.0832859085599994,0.0460943309000005,0.0209433108999999,0.00571380588000005,0.0005169113,1.319094e-05,7.264e-08,0,0,0.2041,0,0.202941176470588
"Atlanta Hawks",20,46,-5,"Eastern",25.4612,0.128581376059999,0.12851705166,0.127342857179997,0.142192389160006,0.174438235619992,0.137006780379999,0.0959756881999963,0.0503638260399998,0.0142545928199999,0.00129402079999999,3.30004799999999e-05,1.816e-07,0,0,0.0693,0,1.325
"Sacramento Kings",21,45,-7.59999999999999,"Western",25.6444,0.123548663259998,0.12438288544,0.124358992159996,0.130160139160004,0.175797051779992,0.150203797939999,0.103410558999995,0.0521660518199996,0.0146122944399999,0.00132556261999999,3.38162399999999e-05,1.8614e-07,0,0,0.0591,0,0.962499999999999
"Orlando Magic",20,46,-4.2,"Eastern",26.7576,0.0902031500599993,0.0941970147199971,0.0985826226399981,0.068881439960001,0.132969419319996,0.162165764480002,0.161416623759998,0.12838425048,0.0559019247000002,0.0068486717800001,0.000433694699999997,1.526282e-05,1.6034e-07,2.4e-10,0.0238,0,-0.962499999999999
"Dallas Mavericks",20,45,-2.69999999999999,"Western",27.197,0.0803870367199998,0.0848096432599973,0.0898999815199995,0.055040527320001,0.110675782459998,0.152694191340001,0.170556532419999,0.17096527472,0.0749580403199997,0.0096180022,0.000390212019999999,4.76310000000002e-06,1.26e-08,0,0.0168,0,0.00294117647058869
"Brooklyn Nets",21,45,-4,"Eastern",27.3606,0.0746680217199996,0.0796704682799974,0.0855308960599997,0.0451116924800008,0.103052783619999,0.150511824360002,0.184073105079999,0.190442754699999,0.0776790090599998,0.00893982988000003,0.000316295339999999,3.31186000000001e-06,7.56e-09,0,0.0103,0,0.0500000000000007
"Chicago Bulls",22,43,-6.2,"Eastern",28.0366,0.0606418429200001,0.0659470908199977,0.0724267478800012,0.02771827924,0.0722740381999996,0.126406604240001,0.18678237538,0.235346125639999,0.133021110400001,0.0186468957599994,0.000779301799999996,9.56252000000004e-06,2.52e-08,0,0.0036,0,-0.485294117647059
"New York Knicks",24,42,-3.3,"Eastern",31.2424,0.0223356410399991,0.0259021366799995,0.0307604910400008,0.00064420088,0.00427163198,0.01429271246,0.04531244172,0.141391902399999,0.554974719159974,0.135563409500003,0.021350445199998,0.00310247554000023,9.72999000000005e-05,4.92499999999999e-07,0,0,-1.14375
"Charlotte Hornets",28,38,-0.700000000000003,"Eastern",36.233,0.00940826600000007,0.0111371813200002,0.0135173925199997,0,0,0,0.00011984324,0.00135058148,0.0421019714599998,0.359580361279994,0.336403826020012,0.200153818960015,0.0123029758600004,0.00032378186,0,0.013,-1.26875
