"","TEAM ","Offensive Rating ","Three Point Attempt Rate ","Two Point % ","Three Point % ","Turnover Rate ","Free Throw Rate ","Free Throw % ","Offensive Rebound Rate ","Pace "
"1","League Median",107.55,0.343,0.504,0.365,0.138,0.19,0.766,0.22,96.85
"2","BOS",108.22,0.37,0.495,0.369,0.132,0.188,0.774,0.218,95.7
"3","TOR",113.79,0.378,0.565,0.355,0.132,0.196,0.785,0.222,97.9
"4","CLE",113.21,0.391,0.549,0.371,0.136,0.192,0.809,0.201,97.3
"5","MIL",108.72,0.297,0.53,0.365,0.129,0.193,0.757,0.181,95.2
"6","IND",110.19,0.298,0.516,0.395,0.128,0.159,0.769,0.218,98.5
"7","DET",107.4,0.338,0.49,0.375,0.132,0.19,0.739,0.239,96
"8","WAS",109.39,0.302,0.499,0.368,0.127,0.195,0.782,0.226,96.5
"9","NYK",107.92,0.267,0.515,0.352,0.146,0.163,0.797,0.261,96.3
"10","PHI",106.92,0.338,0.508,0.355,0.151,0.196,0.744,0.272,101.2
"11","MIA",103.7,0.391,0.505,0.364,0.149,0.155,0.766,0.187,96.3
"12","BRK",106.28,0.385,0.503,0.348,0.138,0.226,0.733,0.219,102.1
"13","ORL",106.51,0.348,0.516,0.367,0.137,0.18,0.745,0.194,100
"14","CHO",104.81,0.294,0.473,0.348,0.12,0.215,0.728,0.221,99.1
"15","ATL",105.41,0.331,0.491,0.381,0.145,0.156,0.786,0.212,97.9
"16","CHI",99.4,0.35,0.466,0.34,0.132,0.148,0.738,0.199,96.7
"17","HOU",115.19,0.516,0.573,0.369,0.144,0.206,0.803,0.224,99.3
"18","GSW",115.3,0.363,0.577,0.397,0.146,0.162,0.808,0.214,101.3
"19","SAS",107.72,0.298,0.495,0.365,0.134,0.16,0.79,0.25,94.3
"20","MIN",111.29,0.269,0.511,0.362,0.129,0.192,0.794,0.256,95.8
"21","DEN",109.69,0.349,0.507,0.37,0.14,0.223,0.732,0.273,97.4
"22","POR",106,0.291,0.467,0.379,0.137,0.166,0.812,0.238,97
"23","NOP",109.11,0.35,0.547,0.369,0.145,0.19,0.75,0.202,100.3
"24","UTA",107.71,0.367,0.494,0.386,0.14,0.161,0.807,0.202,95.3
"25","OKC",105.41,0.346,0.489,0.338,0.136,0.226,0.712,0.265,96.2
"26","LAL",102.2,0.297,0.514,0.319,0.148,0.213,0.702,0.224,102.8
"27","LAC",108.7,0.353,0.505,0.359,0.138,0.212,0.756,0.245,96.4
"28","PHO",104.49,0.287,0.492,0.334,0.138,0.191,0.753,0.241,102.1
"29","SAC",100.78,0.258,0.468,0.383,0.142,0.166,0.727,0.209,94.9
"30","MEM",104.61,0.34,0.502,0.344,0.138,0.168,0.791,0.192,93.5
"31","DAL",104.11,0.382,0.484,0.361,0.128,0.162,0.767,0.178,95.7
