"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Alex Abrines","OKC",633,55.5,12.9,"SG",108.3,110.7
"Quincy Acy","BRK",884,50.4,14.8,"PF",107.2,105.4
"Steven Adams","OKC",1410,63.9,16.5,"C",112.6,106.4
"Bam Adebayo","MIA",802,61.3,14.8,"C",105.1,107
"Arron Afflalo","ORL",453,48.7,11.5,"SG",107.3,106.1
"Cole Aldrich","MIN",25,45.7,17.3,"C",101.9,113.8
"LaMarcus Aldridge","SAS",1634,55.8,28.6,"C",109.5,102.7
"Jarrett Allen","BRK",704,59.9,15.6,"C",102.1,107.6
"Kadeem Allen","BOS",8,39.9,26.6,"PG",94.1,107.3
"Tony Allen","NOP",273,51.4,19.2,"SF",109,110.8
"Al-Farouq Aminu","POR",1083,54.4,14.9,"PF",112.3,105.9
"Justin Anderson","PHI",227,51.7,18.5,"SF",98.8,108.1
"Kyle Anderson","SAS",1185,57.4,13.7,"SF",108.1,106.3
"Ryan Anderson","HOU",1301,57.7,14.4,"PF",114.6,116.4
"Ike Anigbogu","IND",28,55.8,21.8,"C",113.8,110.6
"Giannis Antetokounmpo","MIL",1605,61.9,31.4,"PF",111.8,104.4
"Carmelo Anthony","OKC",1567,52,24.3,"PF",112.5,105.2
"OG Anunoby","TOR",1005,58.2,12.1,"SF",116.9,110.2
"Ryan Arcidiacono","CHI",54,68,5.6,"PG",113.3,104.5
"Trevor Ariza","HOU",1538,59.1,13.7,"SF",117,112
"Darrell Arthur","DEN",50,21.9,20,"PF",94.2,110
"Jamel Artis","ORL",55,24.6,14.5,"SG",110,106.2
"Omer Asik","NOP",89,39.3,10.1,"C",109.4,110.6
"D.J. Augustin","ORL",818,60.6,17.8,"PG",103.3,108
"Luke Babbitt","ATL",552,63.5,14.8,"SF",108.1,105.8
"Dwayne Bacon","CHO",457,42.1,12.9,"SG",101.8,108.8
"Ron Baker","NYK",384,51.1,10,"SG",111.6,107.8
"Lonzo Ball","LAL",1222,43.6,17.9,"PG",104.1,106
"J.J. Barea","DAL",1099,53.6,25.1,"PG",107.5,106.8
"Harrison Barnes","DAL",1740,54.1,24.5,"PF",106.3,109.3
"Will Barton","DEN",1508,53.7,20.8,"SG",108.6,111.6
"Nicolas Batum","CHO",1061,50.1,18.2,"SG",107.9,106.9
"Jerryd Bayless","PHI",870,55,15,"SG",105.8,108.2
"Aron Baynes","BOS",901,50.7,16.2,"C",106.2,107.8
"Kent Bazemore","ATL",1377,53.7,22.3,"SG",106.3,106.5
"Bradley Beal","WAS",1765,56.9,28.3,"SG",110.7,106
"Malik Beasley","DEN",444,47.9,16,"SG",107.1,110.3
"Michael Beasley","NYK",853,57.9,28.9,"PF",110,107.6
"Marco Belinelli","ATL",1127,54.8,21.1,"SG",104,108.6
"Jordan Bell","GSW",546,67.3,14.6,"C",119.4,115.2
"DeAndre' Bembry","ATL",311,44.7,18.8,"SF",104.7,106.6
"Dragan Bender","PHO",1095,51.3,12.3,"PF",103.3,107.6
"Davis Bertans","SAS",665,58.7,17.8,"PF",107.9,106.9
"Patrick Beverley","LAC",334,53,19.7,"SG",112.4,109.5
"Khem Birch","ORL",105,53.6,17.5,"C",103,106.5
"Jabari Bird","BOS",22,40.3,12.6,"SG",120.5,107.1
"Bismack Biyombo","ORL",895,57.6,13.6,"C",100.2,110
"Nemanja Bjelica","MIN",582,61.8,15.7,"PF",111.3,114.4
"Tarik Black","HOU",343,56,17.3,"C",105.9,117.1
"Antonio Blakeney","CHI",163,45.7,25.1,"SG",106,104.6
"Eric Bledsoe",NA,1255,54.4,27.5,"PG",NA,NA
"Eric Bledsoe","PHO",83,50.9,28.7,"PG",87,106.3
"Eric Bledsoe","MIL",1172,54.6,27.4,"PG",110.5,108.9
"Vander Blue","LAL",45,25.5,8.3,"SG",105.4,105
"Bogdan Bogdanovic","SAC",1215,58.8,19.1,"SG",103.5,102.7
"Bojan Bogdanovic","IND",1487,58.3,18.4,"SF",108.7,113.8
"Andrew Bogut","LAL",216,69.6,8.7,"C",97.3,105.8
"Joel Bolomboy","MIL",38,52.1,12.8,"PF",81.6,110.2
"Devin Booker","PHO",1326,56.9,31.3,"SG",105.8,105.2
"Trevor Booker",NA,693,56.7,18.2,"PF",NA,NA
"Trevor Booker","BRK",395,53.6,21.6,"PF",115.3,104.1
"Trevor Booker","PHI",298,63,13.6,"PF",107.5,107.2
"Avery Bradley","DET",1268,49.7,24.4,"SG",106.4,107.6
