"away","home"
"Orlando Magic","Brooklyn Nets"
"Portland Trail Blazers","Chicago Bulls"
"Los Angeles Lakers","Minnesota Timberwolves"
"Milwaukee Bucks","Toronto Raptors"
"Portland Trail Blazers","Cleveland Cavaliers"
"Memphis Grizzlies","Los Angeles Clippers"
"San Antonio Spurs","New York Knicks"
"Atlanta Hawks","Phoenix Suns"
"Charlotte Hornets","Sacramento Kings"
"Cleveland Cavaliers","Boston Celtics"
"Minnesota Timberwolves","Brooklyn Nets"
"Toronto Raptors","Chicago Bulls"
"Golden State Warriors","Dallas Mavericks"
"Phoenix Suns","Denver Nuggets"
"Oklahoma City Thunder","Los Angeles Lakers"
"Detroit Pistons","Miami Heat"
"Indiana Pacers","Milwaukee Bucks"
"Houston Rockets","Orlando Magic"
"San Antonio Spurs","Philadelphia 76ers"
"New Orleans Pelicans","Utah Jazz"
"New York Knicks","Washington Wizards"
"Golden State Warriors","Houston Rockets"
"Oklahoma City Thunder","Los Angeles Clippers"
"Minnesota Timberwolves","Boston Celtics"
"Chicago Bulls","Dallas Mavericks"
"Utah Jazz","Denver Nuggets"
"Charlotte Hornets","Los Angeles Lakers"
"Washington Wizards","Memphis Grizzlies"
"New York Knicks","Miami Heat"
"Toronto Raptors","Milwaukee Bucks"
"Detroit Pistons","Philadelphia 76ers"
"Atlanta Hawks","Portland Trail Blazers"
"Phoenix Suns","San Antonio Spurs"
"Boston Celtics","Brooklyn Nets"
"Houston Rockets","Detroit Pistons"
"Chicago Bulls","Indiana Pacers"
"Golden State Warriors","Los Angeles Clippers"
"New Orleans Pelicans","Minnesota Timberwolves"
"Cleveland Cavaliers","Orlando Magic"
"Denver Nuggets","Sacramento Kings"
"Milwaukee Bucks","Washington Wizards"
"New York Knicks","Dallas Mavericks"
"Atlanta Hawks","Los Angeles Lakers"
"Utah Jazz","Miami Heat"
"Oklahoma City Thunder","Phoenix Suns"
"San Antonio Spurs","Portland Trail Blazers"
"Toronto Raptors","Brooklyn Nets"
"Houston Rockets","Chicago Bulls"
"Denver Nuggets","Golden State Warriors"
"Milwaukee Bucks","Indiana Pacers"
"Atlanta Hawks","Los Angeles Clippers"
"Cleveland Cavaliers","Minnesota Timberwolves"
"Detroit Pistons","New Orleans Pelicans"
"San Antonio Spurs","Sacramento Kings"
"Orlando Magic","Dallas Mavericks"
"Sacramento Kings","Los Angeles Lakers"
"Portland Trail Blazers","Oklahoma City Thunder"
"Miami Heat","Toronto Raptors"
"Detroit Pistons","Brooklyn Nets"
"Dallas Mavericks","Charlotte Hornets"
"Atlanta Hawks","Denver Nuggets"
"Los Angeles Clippers","Golden State Warriors"
"Portland Trail Blazers","Houston Rockets"
"Miami Heat","Indiana Pacers"
"New Orleans Pelicans","Memphis Grizzlies"
"Orlando Magic","Milwaukee Bucks"
"Oklahoma City Thunder","Minnesota Timberwolves"
"Chicago Bulls","New York Knicks"
"Utah Jazz","Washington Wizards"
"San Antonio Spurs","Los Angeles Lakers"
"Boston Celtics","Philadelphia 76ers"
"Los Angeles Clippers","Sacramento Kings"
"Cleveland Cavaliers","Toronto Raptors"
"Brooklyn Nets","Atlanta Hawks"
"Utah Jazz","Charlotte Hornets"
"Memphis Grizzlies","Denver Nuggets"
"Cleveland Cavaliers","Indiana Pacers"
"Golden State Warriors","Milwaukee Bucks"
"New York Knicks","Minnesota Timberwolves"
"Portland Trail Blazers","New Orleans Pelicans"
"Houston Rockets","Phoenix Suns"
"Orlando Magic","Washington Wizards"
"Detroit Pistons","Chicago Bulls"
"Oklahoma City Thunder","Charlotte Hornets"
"Los Angeles Lakers","Dallas Mavericks"
"Sacramento Kings","Los Angeles Clippers"
"Denver Nuggets","San Antonio Spurs"
"Golden State Warriors","Toronto Raptors"
"Brooklyn Nets","Washington Wizards"
"Milwaukee Bucks","Miami Heat"
"Portland Trail Blazers","Minnesota Timberwolves"
"New Orleans Pelicans","New York Knicks"
"Indiana Pacers","Phoenix Suns"
"San Antonio Spurs","Atlanta Hawks"
"New York Knicks","Brooklyn Nets"
"Miami Heat","Chicago Bulls"
"Golden State Warriors","Cleveland Cavaliers"
"Charlotte Hornets","Detroit Pistons"
"Houston Rockets","Los Angeles Clippers"
"Los Angeles Lakers","Memphis Grizzlies"
"Sacramento Kings","Oklahoma City Thunder"
"Toronto Raptors","Philadelphia 76ers"
"Indiana Pacers","Utah Jazz"
"Milwaukee Bucks","Washington Wizards"
"New Orleans Pelicans","Boston Celtics"
"Dallas Mavericks","Denver Nuggets"
"Minnesota Timberwolves","Orlando Magic"
"Phoenix Suns","Portland Trail Blazers"
"New Orleans Pelicans","Atlanta Hawks"
"San Antonio Spurs","Brooklyn Nets"
"Golden State Warriors","Chicago Bulls"
"Washington Wizards","Charlotte Hornets"
"Denver Nuggets","Los Angeles Clippers"
"New York Knicks","Memphis Grizzlies"
"Miami Heat","Milwaukee Bucks"
"Los Angeles Lakers","Oklahoma City Thunder"
"Utah Jazz","Sacramento Kings"
"Detroit Pistons","Toronto Raptors"
"Philadelphia 76ers","Boston Celtics"
"Orlando Magic","Cleveland Cavaliers"
"Minnesota Timberwolves","Houston Rockets"
"Indiana Pacers","Portland Trail Blazers"
"Miami Heat","Brooklyn Nets"
"Phoenix Suns","Denver Nuggets"
"Washington Wizards","Detroit Pistons"
"Indiana Pacers","Los Angeles Lakers"
"Sacramento Kings","Memphis Grizzlies"
"San Antonio Spurs","Toronto Raptors"
"New York Knicks","Utah Jazz"
"Chicago Bulls","Atlanta Hawks"
"Miami Heat","Charlotte Hornets"
"Oklahoma City Thunder","Cleveland Cavaliers"
"Golden State Warriors","Houston Rockets"
"Toronto Raptors","Minnesota Timberwolves"
"Memphis Grizzlies","New Orleans Pelicans"
"Milwaukee Bucks","Philadelphia 76ers"
"Dallas Mavericks","Portland Trail Blazers"
"Los Angeles Clippers","Utah Jazz"
"Orlando Magic","Boston Celtics"
"Brooklyn Nets","Detroit Pistons"
"New York Knicks","Los Angeles Lakers"
"Indiana Pacers","San Antonio Spurs"
"Utah Jazz","Atlanta Hawks"
"Sacramento Kings","Charlotte Hornets"
"Washington Wizards","Dallas Mavericks"
"Portland Trail Blazers","Denver Nuggets"
"Miami Heat","Houston Rockets"
"Minnesota Timberwolves","Los Angeles Clippers"
"Philadelphia 76ers","Memphis Grizzlies"
"Phoenix Suns","Milwaukee Bucks"
"Chicago Bulls","New Orleans Pelicans"
"New York Knicks","Golden State Warriors"
"Boston Celtics","Los Angeles Lakers"
"Brooklyn Nets","Oklahoma City Thunder"
"Sacramento Kings","Orlando Magic"
"Cleveland Cavaliers","San Antonio Spurs"
"Toronto Raptors","Atlanta Hawks"
"New Orleans Pelicans","Charlotte Hornets"
"Houston Rockets","Dallas Mavericks"
"Utah Jazz","Detroit Pistons"
"Phoenix Suns","Indiana Pacers"
"Boston Celtics","Los Angeles Clippers"
"San Antonio Spurs","Memphis Grizzlies"
"Chicago Bulls","Philadelphia 76ers"
"Minnesota Timberwolves","Portland Trail Blazers"
"New York Knicks","Denver Nuggets"
"Minnesota Timberwolves","Golden State Warriors"
"Sacramento Kings","Miami Heat"
"Washington Wizards","Oklahoma City Thunder"
"Los Angeles Lakers","Chicago Bulls"
"Atlanta Hawks","Charlotte Hornets"
"Indiana Pacers","Cleveland Cavaliers"
"Portland Trail Blazers","Dallas Mavericks"
"Los Angeles Clippers","Memphis Grizzlies"
"Brooklyn Nets","Milwaukee Bucks"
"Houston Rockets","New Orleans Pelicans"
"New York Knicks","Phoenix Suns"
"Philadelphia 76ers","San Antonio Spurs"
"Utah Jazz","Toronto Raptors"
"Washington Wizards","Atlanta Hawks"
"Dallas Mavericks","Denver Nuggets"
"Oklahoma City Thunder","Detroit Pistons"
"Boston Celtics","Golden State Warriors"
"Orlando Magic","Indiana Pacers"
"Charlotte Hornets","Miami Heat"
"Brooklyn Nets","Minnesota Timberwolves"
"Milwaukee Bucks","Chicago Bulls"
"Detroit Pistons","Cleveland Cavaliers"
"Phoenix Suns","Houston Rockets"
"Los Angeles Clippers","New Orleans Pelicans"
"Philadelphia 76ers","Oklahoma City Thunder"
"Sacramento Kings","San Antonio Spurs"
"Los Angeles Lakers","Toronto Raptors"
"Minnesota Timberwolves","Atlanta Hawks"
"Miami Heat","Dallas Mavericks"
"Boston Celtics","Denver Nuggets"
"Charlotte Hornets","Indiana Pacers"
"Phoenix Suns","Memphis Grizzlies"
"Philadelphia 76ers","Milwaukee Bucks"
"Cleveland Cavaliers","Detroit Pistons"
"Orlando Magic","Houston Rockets"
"Portland Trail Blazers","Los Angeles Clippers"
"Sacramento Kings","New Orleans Pelicans"
"Brooklyn Nets","New York Knicks"
"Denver Nuggets","San Antonio Spurs"
"Minnesota Timberwolves","Toronto Raptors"
"Golden State Warriors","Utah Jazz"
"Oklahoma City Thunder","Washington Wizards"
"Charlotte Hornets","Atlanta Hawks"
"New York Knicks","Boston Celtics"
"Philadelphia 76ers","Brooklyn Nets"
"Miami Heat","Cleveland Cavaliers"
