"","nm","Career Att.","Career Pct.","17-18 Makes","17-18 Att.","17-18 Pct.","Preseason Proj.","Proj. Now","Change"
"1","Alex Abrines",247,0.3805666,16,51,0.313725490196078,0.357582,0.3552602,-0.002321805
"2","Quincy Acy",204,0.3725488,21,62,0.338709677419355,0.3527579,0.3522647,-0.0004932331
"7","LaMarcus Aldridge",293,0.2866893,15,38,0.394736842105263,0.3187489,0.3216481,0.002899248
"10","Al-Farouq Aminu",942,0.3237792,16,38,0.421052631578947,0.3237792,0.32847,0.004690853
"11","Justin Anderson",155,0.2774192,9,26,0.346153846153846,0.3284812,0.3285654,8.421053e-05
"13","Ryan Anderson",3107,0.381075,61,150,0.406666666666667,0.381075,0.3853403,0.004265281
"15","Giannis Antetokounmpo",451,0.2771618,9,35,0.257142857142857,0.2986707,0.2940992,-0.004571429
"16","Carmelo Anthony",3261,0.3465195,48,133,0.360902255639098,0.3465195,0.3486858,0.002166378
"17","OG Anunoby",0,0,21,55,0.381818181818182,0.344,0.3471278,0.00312782
"19","Trevor Ariza",3253,0.3510605,52,136,0.382352941176471,0.3510605,0.3558639,0.004803347
"22","D.J. Augustin",1924,0.3752599,18,40,0.45,0.3752599,0.3790442,0.003784311
"23","Luke Babbitt",823,0.4058323,35,77,0.454545454545455,0.4058323,0.4103678,0.004535568
"24","Dwayne Bacon",0,0,10,29,0.344827586206897,0.344,0.3440361,3.609023e-05
"26","Lonzo Ball",0,0,28,112,0.25,0.344,0.3281684,-0.01583158
"27","J.J. Barea",1804,0.3514412,46,116,0.396551724137931,0.3514412,0.3574837,0.006042515
"28","Harrison Barnes",986,0.3701825,28,85,0.329411764705882,0.3701825,0.3660322,-0.004150316
"29","Will Barton",725,0.3268965,45,109,0.412844036697248,0.3268966,0.3381295,0.01123294
"30","Nicolas Batum",2875,0.3565217,8,36,0.222222222222222,0.3565217,0.3503706,-0.006151122
"31","Jerryd Bayless",1041,0.3727185,24,63,0.380952380952381,0.3727185,0.3733566,0.0006380495
"33","Kent Bazemore",826,0.3535109,30,83,0.36144578313253,0.3535109,0.3543015,0.0007906353
"34","Bradley Beal",1661,0.3991571,48,129,0.372093023255814,0.3991571,0.3951852,-0.003971863
"35","Malik Beasley",28,0.3214274,7,22,0.318181818181818,0.3430496,0.3421955,-0.0008541353
"37","Marco Belinelli",2262,0.3770999,46,113,0.407079646017699,0.3770999,0.3810254,0.003925506
"40","Dragan Bender",101,0.2772274,29,78,0.371794871794872,0.3338586,0.3371188,0.00326015
"41","Davis Bertans",173,0.3988437,15,38,0.394736842105263,0.3582677,0.3611669,0.002899248
"42","Patrick Beverley",1272,0.375,24,60,0.4,0.375,0.3768518,0.001851854
"46","Nemanja Bjelica",302,0.3443707,21,41,0.51219512195122,0.3441684,0.3545383,0.01036992
"48","Antonio Blakeney",0,0,8,28,0.285714285714286,0.344,0.3415459,-0.002454135
"49","Eric Bledsoe",1075,0.3339535,17,59,0.288135593220339,0.3339535,0.330612,-0.003341476
"51","Eric Bledsoe",1075,0.3339535,13,46,0.282608695652174,0.3339535,0.3309863,-0.00296716
"53","Bogdan Bogdanovic",0,0,20,60,0.333333333333333,0.344,0.3430376,-0.000962406
"54","Bojan Bogdanovic",709,0.3737658,50,114,0.43859649122807,0.3737659,0.3827461,0.008980184
"57","Devin Booker",694,0.3544668,56,149,0.375838926174497,0.3544669,0.3582444,0.003777507
"59","Avery Bradley",1421,0.3659395,42,102,0.411764705882353,0.3659395,0.3714256,0.005486122
"62","Malcolm Brogdon",193,0.4041449,32,75,0.426666666666667,0.3614556,0.3707789,0.009323308
"64","Dillon Brooks",0,0,17,52,0.326923076923077,0.344,0.3426647,-0.001335338
"65","Bobby Brown",103,0.359223,9,33,0.272727272727273,0.3463579,0.3428211,-0.003536842
"66","Jaylen Brown",135,0.3407405,43,105,0.40952380952381,0.3433383,0.3536842,0.01034586
