"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"LAC","DEN",78,92,TRUE,7,5.30000000000001,-1.69999999999999
2013,"SAC","DET",97,103,TRUE,-5.2,-4.3,0.900000000000006
2013,"PHI","LAL",103,99,FALSE,-3.7,1.2,4.90000000000001
2013,"ATL","NOH",95,86,FALSE,0.399999999999991,-4.39999999999999,-4.79999999999998
2013,"POR","NYK",105,100,FALSE,-3.40000000000001,4.8,8.2
2013,"DAL","WAS",103,94,FALSE,-0.599999999999994,-2.8,-2.2
2013,"MEM","BOS",93,83,FALSE,4.60000000000001,-0.200000000000003,-4.80000000000001
2013,"SAC","CLE",97,94,FALSE,-5.2,-5.10000000000001,0.0999999999999943
2013,"LAC","GSW",94,115,TRUE,7,0.900000000000006,-6.09999999999999
2013,"NOH","HOU",92,104,TRUE,-4.39999999999999,3.60000000000001,8
2013,"WAS","IND",81,89,TRUE,-2.8,4.5,7.3
2013,"DAL","MIA",109,119,TRUE,-0.599999999999994,8.59999999999999,9.19999999999999
2013,"SAS","MIL",117,110,FALSE,6.7,-1.60000000000001,-8.30000000000001
2013,"BRK","OKC",110,93,FALSE,2,9.80000000000001,7.80000000000001
2013,"CHI","ORL",96,94,FALSE,0.299999999999997,-7.5,-7.8
2013,"PHI","PHO",89,95,TRUE,-3.7,-6.89999999999999,-3.19999999999999
2013,"POR","TOR",79,102,TRUE,-3.40000000000001,-1.59999999999999,1.80000000000001
2013,"MIN","UTA",84,106,TRUE,-2.5,-0.0999999999999943,2.40000000000001
2013,"MIN","DEN",101,97,FALSE,-2.5,5.30000000000001,7.80000000000001
2013,"SAS","NYK",83,100,TRUE,6.7,4.8,-1.90000000000001
2013,"IND","BOS",75,94,TRUE,4.5,-0.200000000000003,-4.7
2013,"CLE","CHA",106,104,FALSE,-5.10000000000001,-10,-4.89999999999999
2013,"ATL","DET",84,85,TRUE,0.399999999999991,-4.3,-4.69999999999999
2013,"LAL","LAC",102,107,TRUE,1.2,7,5.8
2013,"POR","MEM",86,84,FALSE,-3.40000000000001,4.60000000000001,8.00000000000001
2013,"CHI","MIA",96,89,FALSE,0.299999999999997,8.59999999999999,8.3
2013,"HOU","MIL",115,101,FALSE,3.60000000000001,-1.60000000000001,-5.20000000000002
2013,"PHI","OKC",85,109,TRUE,-3.7,9.80000000000001,13.5
2013,"UTA","PHO",87,80,FALSE,-0.0999999999999943,-6.89999999999999,-6.8
2013,"SAC","TOR",105,96,FALSE,-5.2,-1.59999999999999,3.60000000000001
2013,"BRK","WAS",115,113,FALSE,2,-2.8,-4.8
2013,"BOS","ATL",89,81,FALSE,-0.200000000000003,0.399999999999991,0.599999999999994
2013,"SAC","BRK",93,113,TRUE,-5.2,2,7.2
2013,"HOU","CLE",112,104,FALSE,3.60000000000001,-5.10000000000001,-8.70000000000002
2013,"NOH","DAL",99,96,FALSE,-4.39999999999999,-0.599999999999994,3.8
2013,"UTA","DEN",91,110,TRUE,-0.0999999999999943,5.30000000000001,5.40000000000001
2013,"MIL","IND",80,95,TRUE,-1.60000000000001,4.5,6.10000000000001
2013,"GSW","LAC",89,115,TRUE,0.900000000000006,7,6.09999999999999
2013,"POR","MIN",102,97,FALSE,-3.40000000000001,-2.5,0.900000000000006
2013,"NYK","ORL",114,106,FALSE,4.8,-7.5,-12.3
2013,"PHI","SAS",86,109,TRUE,-3.7,6.7,10.4
2013,"CHA","DET",108,101,FALSE,-10,-4.3,5.7
2013,"DEN","LAL",112,105,FALSE,5.30000000000001,1.2,-4.10000000000001
2013,"WAS","MIA",71,99,TRUE,-2.8,8.59999999999999,11.4
2013,"MEM","PHO",92,81,FALSE,4.60000000000001,-6.89999999999999,-11.5
2013,"OKC","TOR",104,92,FALSE,9.80000000000001,-1.59999999999999,-11.4
2013,"CLE","CHI",92,118,TRUE,-5.10000000000001,0.299999999999997,5.40000000000001
2013,"SAS","NOH",88,95,TRUE,6.7,-4.39999999999999,-11.1
2013,"BOS","NYK",102,96,FALSE,-0.200000000000003,4.8,5
2013,"ORL","POR",119,125,TRUE,-7.5,-3.40000000000001,4.09999999999999
